,Charging event,User ID,CP ID,Connector,Start Date,Start Time,End Date,End Time,Total kWh,Cost,Site,Group,Model,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
49,11683369,608881,51595,2,31/01/2021,19:21,31/01/2021,20:02,11.609,2.12,"Queen Street Charging Hub, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,803B7D9A404B04,Nissan LEAF
50,11683367,619611,51424,2,31/01/2021,19:21,31/01/2021,20:21,24.822,4.1,"Princes Street Charging Hub, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,805F5612248804,Nissan LEAF
51,11683275,618928,51585,2,31/01/2021,19:07,31/01/2021,19:13,2.241,0.71,"Lochee Charging Hub, Aimer Square, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,805F5612907004,Nissan LEAF
52,11683209,614301,51426,2,31/01/2021,18:57,31/01/2021,19:32,15.08,2.64,"Princes Street Charging Hub, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,8062160A751104,Nissan E-NV200
53,11683156,614716,51549,2,31/01/2021,18:50,31/01/2021,19:21,8.851,1.7,"Lochee Charging Hub, Aimer Square, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,8062CBA2892104,Nissan LEAF
54,11683112,526584,51547,2,31/01/2021,18:44,31/01/2021,19:13,15.6,2.72,"Lochee Charging Hub, Aimer Square, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,8062E162584304,Nissan LEAF
55,11683103,614734,51584,2,31/01/2021,18:43,31/01/2021,19:08,14.34,2.53,"Lochee Charging Hub, Aimer Square, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,8062CBA26B4404,Nissan LEAF
56,11683082,621969,51424,2,31/01/2021,18:41,31/01/2021,18:55,3.878,0.96,"Princes Street Charging Hub, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,806169924A6B04,Nissan LEAF
57,11683041,618928,51585,2,31/01/2021,18:37,31/01/2021,18:46,3.058,0.83,"Lochee Charging Hub, Aimer Square, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,805F5612907004,Nissan LEAF
58,11683027,619295,51594,1,31/01/2021,18:35,31/01/2021,18:57,8.759,0.0,"Queen Street Charging Hub, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,805F5612586704,Nissan LEAF
59,11682987,526584,51585,2,31/01/2021,18:28,31/01/2021,18:31,2.219,0.71,"Lochee Charging Hub, Aimer Square, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,8062E162584304,Nissan LEAF
